step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,0.033477,-0.018281,0,19.627
1,10.0,656.3036,13.7596,-109.122,0.023725,0.029908,0,18.754
2,12.0,655.7888,12.2066,-108.2449,0.006121,0.111366,0,17.979
3,14.0,655.2979,10.6881,-107.8701,0.036405,0.225461,0,17.885
4,16.0,654.8213,9.129,-106.9167,0.050495,0.415111,0,18.673
5,16.0,654.3631,7.4725,-105.306,0.051749,0.791908,0,19.67
6,18.0,653.9392,5.7386,-103.4649,0.066308,1.243375,0,20.099
7,20.0,653.5783,3.986,-101.2186,0.017439,1.811152,0,19.868
8,20.0,653.2638,2.259,-100.0755,-0.18317,2.508859,0,19.43
9,22.0,652.8788,0.5934,-103.5973,-0.167737,3.131001,0,18.962
10,24.0,652.3389,-1.0143,-109.2271,-0.139771,3.632161,0,19.115
11,24.0,651.6454,-2.6033,-114.2727,-0.208834,4.103589,0,19.693
12,26.0,650.7666,-4.1456,-120.7498,-0.076799,4.426808,0,20.022
13,28.0,649.7555,-5.6355,-124.9151,-0.029994,4.667954,0,20.184
14,30.0,648.6943,-7.0887,-126.5882,0.025529,4.89978,0,20.038
15,30.0,647.642,-8.5235,-126.2898,-0.0089,5.255232,0,19.789
16,32.0,646.6001,-9.9443,-126.2839,-0.016111,5.609568,0,19.665
17,34.0,645.5479,-11.3555,-126.7742,-0.01617,5.993367,0,19.741
18,34.0,644.4741,-12.7672,-127.3563,-0.088925,6.486178,0,19.928
19,36.0,643.3433,-14.1495,-129.7108,-0.12972,6.925293,0,20.018
20,38.0,642.1216,-15.4536,-133.8506,-0.175824,7.290811,0,19.979
21,38.0,640.7914,-16.6318,-139.4954,-0.190716,7.615876,0,19.846
22,40.0,639.3475,-17.6511,-145.9421,-0.132002,7.750837,0,19.782
23,42.0,637.8086,-18.5328,-151.1574,-0.085516,7.763423,0,19.921
24,42.0,636.2004,-19.317,-154.7234,-0.098682,7.782701,0,20.087
25,44.0,634.5403,-20.0057,-158.167,-0.099837,7.702194,0,20.112
26,46.0,632.8434,-20.5887,-161.742,-0.081669,7.556854,0,20.035
27,46.0,631.1237,-21.0739,-164.8721,-0.036215,7.431919,0,19.955
28,48.0,629.3916,-21.4966,-166.6724,-0.028946,7.257539,0,19.941
29,50.0,627.6491,-21.8807,-167.831,-0.087463,7.089478,0,19.975
30,50.0,625.8917,-22.1952,-170.3208,-0.006844,6.964835,0,19.98
31,52.0,624.1243,-22.469,-171.3954,-0.030209,6.818354,0,20.025
32,54.0,622.35,-22.7158,-172.2973,-0.111592,6.692118,0,20.039
