step,time_sec,steer_norm,steer_rad,cte_m,cte_ft,speed_mph,x,y,yaw
0,0.0,-0.0008757299248460098,-0.0010698792491843701,0.001403985229464306,0.0046062509002356734,20.322316776439646,28.83358383178711,244.53684997558594,0.04434302821755409
1,0.2,3.300653230070033e-05,4.03240805117656e-05,0.0011272571309592853,0.0036983502855364617,19.420062027637165,30.61739158630371,244.5371856689453,0.0033465176820755005
2,0.4,0.00032549610271010164,0.0003976585886809312,0.0005439566141838448,0.0017846346180789253,18.227179688047375,32.298545837402344,244.5371856689453,-0.005279541481286287
3,0.6,0.00042013509737899937,0.0005132790484679235,8.590262830526676e-05,0.0002818327790490514,17.50997628877935,33.89031982421875,244.53726196289062,0.0022634018678218126
4,0.8,0.00013209301581155984,0.00016137803741698265,-6.365874639860825e-05,-0.0002088541615344099,17.82824004575377,35.463958740234375,244.5376434326172,0.015078693628311157
5,1.0,-3.73753452977595e-05,-4.566145935027278e-05,-3.585972961108345e-05,-0.00011765003529722701,19.088354749513563,37.1163215637207,244.53823852539062,0.02192106656730175
6,1.2,-5.04356765273437e-05,-6.16172660134558e-05,-1.6212520631078125e-05,-5.3190686187266354e-05,20.124826286262003,38.881317138671875,244.5388641357422,0.02216249145567417
7,1.4,-1.6021243100351445e-05,-1.957315269569936e-05,-1.666834484000243e-05,-5.468617248487357e-05,20.238877199803532,40.69586944580078,244.53948974609375,0.02047104574739933
8,1.6,-6.038350703384094e-07,-7.377053054324347e-07,1.284529495717372e-05,4.214335750729383e-05,19.713284466144227,42.48556900024414,244.5401153564453,0.019543932750821114
9,1.8,-6.792256898507969e-06,-8.298100252907187e-06,4.2282304330098434e-05,0.00013872147533836013,19.150706542239803,44.222049713134766,244.54074096679688,0.01938113011419773
10,2.0,-4.322807021573857e-05,-5.2811733382567816e-05,9.862894658803676e-05,0.0003235857931238945,18.982509764561577,45.92459487915039,244.5413818359375,0.01921561360359192
11,2.2,-2.1420863002660418e-05,-2.6169868330350233e-05,0.0001403712588432609,0.0004605356408633241,19.32786723504828,47.63715362548828,244.54200744628906,0.018028302118182182
12,2.4,-9.70967873202603e-07,-1.18623145069162e-06,0.00017415262547266155,0.0005713668997557269,19.865397882936083,49.39350509643555,244.54263305664062,0.017021333798766136
13,2.6,5.4243215071693855e-06,6.626893585308838e-06,0.00018337615266975776,0.000601627816725048,20.15570969821319,51.18886184692383,244.5432586669922,0.016737977042794228
14,2.8,-9.552254677523556e-07,-1.1669989539530528e-06,0.00018988996789187735,0.0006229986022583869,20.077363824412892,52.99211120605469,244.54388427734375,0.016855822876095772
