step,time_sec,nn_steer,expert_steer,cte_m,cte_ft,speed_mph,x,y,yaw
0,0.0,0.001758362166583538,0.0003784273834750167,-0.001726065301732927,-0.0056629440845374565,19.472020143576497,28.232616424560547,45.370086669921875,-0.0520934984087944
1,0.2,-0.004437141120433807,-0.0006327926463957448,-0.0012230888364311743,-0.004012758778116854,18.627307986660778,29.934791564941406,45.36898422241211,-0.0038146974984556437
2,0.4,0.003807174041867256,0.0023692711408902266,-0.00281158311672277,-0.009224354352668733,17.95044211181723,31.563941955566406,45.36586380004883,-0.0919494554400444
3,0.6,0.002763316035270691,0.000950964771437008,-0.0032985598718966174,-0.010822047170113298,17.971878006043685,33.162899017333984,45.36387252807617,-0.041412353515625
4,0.8,-0.002202560193836689,-0.002114510264802477,-0.0009125177205653592,-0.002993824638339653,18.808305485083185,34.80454635620117,45.36471176147461,0.05675049126148224
5,1.0,-0.003332003951072693,-0.001866585126718624,0.00094523135581689,0.0031011528414182856,19.739240316897373,36.53327941894531,45.36494064331055,0.025263700634241104
6,1.2,-0.005774024873971939,0.0006035293838344857,-0.0002008764262012779,-0.0006590434141382005,20.077197719782667,38.32004928588867,45.36211013793945,-0.08258056640625
7,1.4,-0.00457023736089468,0.005445121334323977,-0.006579169183536704,-0.02158520142411456,19.822291329053783,40.10624694824219,45.35405349731445,-0.2685241103172302
8,1.6,0.0074758948758244514,0.01061723987848338,-0.018295665168261706,-0.06002515011063973,19.391405256207133,41.85761642456055,45.3406867980957,-0.4472045302391052
9,1.8,-0.011633655056357384,0.020002374250312597,-0.027108102528743183,-0.08893734710040178,19.16260165122799,43.57774353027344,45.33025360107422,-0.3092956244945526
10,2.0,0.00846318993717432,0.028685279665832914,-0.0411846545941682,-0.1351202621787308,19.31265757077124,45.29507064819336,45.31455993652344,-0.533721923828125
11,2.2,0.005359972827136517,0.02763975682122148,-0.053860858361395245,-0.17670885854639998,19.70363015193246,47.03952407836914,45.30024337768555,-0.4255370795726776
12,2.4,0.015567409805953503,0.02233656564542419,-0.06024149295064543,-0.19764269973219556,20.015061465889396,48.81772994995117,45.29219055175781,-0.2069397121667862
13,2.6,-0.014613584615290165,0.008884494991451683,-0.05386718868466238,-0.1767296273241877,20.05907419714382,50.611507415771484,45.296875,0.2592361867427826
14,2.8,-0.01051403395831585,0.011083529260620102,-0.05063759409300201,-0.16613384420408472,19.903005631590847,52.39838790893555,45.29841613769531,0.04675119370222092
15,3.0,5.4663047194480896e-05,0.019583163656284156,-0.05911310189963528,-0.1939406292363994,19.73296970543266,54.16914749145508,45.28827667236328,-0.3656005859375
16,3.2,0.026186849921941757,0.022715956689463065,-0.07202990561001685,-0.23631859552156767,19.69013643067531,55.930023193359375,45.27370071411133,-0.4801330268383026
17,3.4,-0.0028602653183043003,0.02893485988451088,-0.06838025208457091,-0.22434466624914362,19.78829595019446,57.694129943847656,45.27568817138672,0.18618673086166382
18,3.6,-0.008644639514386654,0.014572381132039113,-0.056823643734011546,-0.18642928330829445,19.945229656575673,59.470848083496094,45.28557205200195,0.37519288063049316
19,3.8,0.0051162755116820335,0.015756567697088622,-0.05091903965545692,-0.16705722206320928,20.038210977410017,61.259315490722656,45.289794921875,0.1347578465938568
20,4.0,0.008365021087229252,0.010548210068832657,-0.04461416274814946,-0.14637192971063867,20.02400428233322,63.05097198486328,45.29441452026367,0.17787325382232666
21,4.2,-0.009517594240605831,-0.0009415019468654135,-0.03114294776096526,-0.10217502873208527,19.949011977137147,64.8378677368164,45.30620193481445,0.44339632987976074
22,4.4,-0.01920519396662712,-0.0011311981192268995,-0.020665114478050313,-0.06779893418416659,19.88900358463548,66.6181869506836,45.314998626708984,0.2862323820590973
23,4.6,0.0007806168869137764,0.01164211544018573,-0.026191666595228584,-0.08593066743228975,19.888956632399474,68.39576721191406,45.307796478271484,-0.3029479682445526
24,4.8,0.01581593230366707,0.01718679028695936,-0.03907934589829327,-0.12821308119695649,19.941672111296313,70.17615509033203,45.293235778808594,-0.4847411811351776
25,5.0,0.007649536244571209,0.009434033958448176,-0.04227802728632017,-0.13870744304205068,19.998053574341437,71.96190643310547,45.288352966308594,-0.0773315280675888
26,5.2,-0.009338431991636753,0.00900824936434568,-0.03445363413280671,-0.11303686100827756,20.022703045099995,73.75143432617188,45.29449462890625,0.28497883677482605
27,5.4,-0.008786498568952084,0.008825101390977965,-0.02902858406129459,-0.09523813973165775,20.006627082489313,75.54106903076172,45.29823684692383,0.13057155907154083
28,5.6,0.011329458095133305,0.016903693641955746,-0.03245101976933201,-0.10646660370001523,19.97493444018654,77.32827758789062,45.29313278198242,-0.1897582858800888
29,5.8,0.0055750394240021706,0.010368354471179031,-0.03206572016478943,-0.10520249734544776,19.954675770496102,79.1130142211914,45.29183578491211,0.008065750822424889
30,6.0,-0.021142959594726562,0.0008709950270282136,-0.024129320968120673,-0.07916444140504902,19.962845304158833,80.89730834960938,45.29808807373047,0.2643461227416992
