step,time_sec,steer_norm,steer_rad,cte_m,cte_ft,speed_mph,x,y,yaw
0,0.0,-0.017417071638062488,-0.021278436420220943,-0.02154598999162774,-0.07068894580413196,19.611856085094,672.5104370117188,55.66239547729492,-93.66647338867188
1,0.2,-0.018751976618503582,-0.022909289834825826,-0.02293919501950223,-0.0752598285877837,20.28108102691059,672.3790283203125,53.869300842285156,-94.2833251953125
2,0.4,-0.019703789847466117,-0.024072120056649354,-0.005527537808150976,-0.018134967142494046,19.626056366178098,672.2293701171875,52.086669921875,-94.9621810913086
3,0.6,-0.01900979732670096,-0.023224269394030564,-0.0042038184907196505,-0.013792055857092658,18.63534683182538,672.0659790039062,50.3880615234375,-95.65717315673828
4,0.8,-0.01779564743959368,-0.0217409424769516,-0.007100224853089336,-0.023294701707009615,18.06453255814239,671.8900146484375,48.764183044433594,-96.31889343261719
5,1.0,-0.01720515122822293,-0.021019533255519952,-0.013607824069171742,-0.04464509351910142,18.354895273967085,671.6969604492188,47.1544075012207,-96.93206787109375
6,1.2,-0.016822262718677077,-0.020551758363407786,-0.0047006239699993735,-0.015421995145732744,19.346770346772175,671.4783935546875,45.4831428527832,-97.53168487548828
7,1.4,-0.01811020559328842,-0.02212523817332046,-0.005094446469515845,-0.016714063755046367,20.143524686362415,671.230712890625,43.727840423583984,-98.14398193359375
8,1.6,-0.018652792283473923,-0.02278811633272009,-0.005292444786694342,-0.017363664553978263,20.226929173457027,670.9581298828125,41.93772888183594,-98.80387115478516
9,1.8,-0.01837247146486125,-0.02244564838862099,-0.006304706600082779,-0.020684733601815584,19.810822859105834,670.668212890625,40.1705207824707,-99.4901123046875
10,2.0,-0.017826035801056784,-0.021778067938151072,-0.009732376080552677,-0.031930368740120445,19.361917712311527,670.3646240234375,38.44856643676758,-100.16371154785156
11,2.2,-0.017440395997305982,-0.02130693178990872,-0.01570069066296123,-0.051511453954669724,19.22390517359503,670.0460205078125,36.75699996948242,-100.80934143066406
12,2.4,-0.017472639013264457,-0.021346323082505187,-0.0027059658287442168,-0.008877840929577175,19.484615062114468,669.7069091796875,35.062049865722656,-101.43736267089844
13,2.6,-0.017675338029987154,-0.021593960471235307,-0.004702476053223936,-0.01542807153445922,19.89910213857109,669.3422241210938,33.33818817138672,-102.07013702392578
14,2.8,-0.017935095176401968,-0.021911305777010285,-0.006889355040475992,-0.022602871590995253,20.133448912574366,668.9519653320312,31.58858871459961,-102.71919250488281
15,3.0,-0.017998473101611526,-0.0219887345882388,-0.009396240704957495,-0.030827562354452748,20.08263409644082,668.5404052734375,29.836599349975586,-103.38240051269531
16,3.2,-0.017855026737952893,-0.02181348616575705,-0.013146100802671035,-0.043130253357435235,19.880018557473743,668.1116333007812,28.102420806884766,-104.04810333251953
17,3.4,-0.01808677641256781,-0.022096614743234093,-0.0012626727321809472,-0.004142627206648539,19.722410540248447,667.667236328125,26.390146255493164,-104.70556640625
18,3.6,-0.017812536374594477,-0.021761575688842072,-0.002181583125870662,-0.007157425182681502,19.725014091495343,667.2051391601562,24.689777374267578,-105.36367797851562
19,3.8,-0.017518820493955516,-0.021402742997465453,-0.004743046670453575,-0.015561177238290909,19.863080576230946,666.7211303710938,22.987743377685547,-106.01756286621094
20,4.0,-0.01757629598037844,-0.02147296079922834,-0.007915534251343434,-0.025969601393177593,20.012405505963375,666.214111328125,21.27786636352539,-106.66512298583984
21,4.2,-0.017688346682272725,-0.02160985314173259,-0.011716786736573975,-0.03844090259682136,20.06694770848005,665.6849365234375,19.56484603881836,-107.31488800048828
22,4.4,-0.017784612022149197,-0.021727460507459675,-0.015914049682836884,-0.052211450761438565,20.018022321972854,665.13671875,17.858274459838867,-107.9690933227539
23,4.6,-0.01826712137253282,-0.02231694218082335,-0.001569430215605544,-0.005149049428567293,19.933320240498738,664.5711059570312,16.16448402404785,-108.62552642822266
24,4.8,-0.01788673591129096,-0.021852225262824165,-0.002886798281576508,-0.00947112327412747,19.887661293014602,663.9876708984375,14.483247756958008,-109.293212890625
25,5.0,-0.0213084192653703,-0.026032495816502896,-0.005071268665239483,-0.016638021087664306,19.909712797091238,663.3855590820312,12.80970573425293,-109.9551010131836
26,5.2,-0.0338471092249697,-0.04135101334014549,-0.013880473481390654,-0.04553961261668571,19.970424388778664,662.7603149414062,11.140094757080078,-110.70234680175781
27,5.4,-0.04392678622652187,-0.053665354732941775,-0.05639479674267722,-0.18502230494524513,20.01548220940909,662.1029663085938,9.477489471435547,-111.80867767333984
28,5.6,-0.04835489105079191,-0.059075170396752474,-0.013796046123457473,-0.04526261996368421,20.017885029324827,661.40380859375,7.829806327819824,-113.3041763305664
29,5.8,-0.05271111105845593,-0.06439716438011561,-0.02656463793686806,-0.08715432672879421,19.990194356252996,660.6575927734375,6.204424858093262,-115.02198028564453
30,6.0,-0.05370610871662525,-0.06561275301910106,-0.04909608976068652,-0.16107641513045076,19.96109275947463,659.8607788085938,4.606376647949219,-116.89947509765625
31,6.2,-0.055995333904438,-0.0684094994310519,-0.0012495486356401408,-0.004099569145753599,19.955470250792384,659.0112915039062,3.037508249282837,-118.84728240966797
32,6.4,-0.05387140427479338,-0.06581469460251507,-0.01158036662007092,-0.037993330021793476,19.97237737444308,658.1069946289062,1.4987658262252808,-120.86557006835938
33,6.6,-0.05229125022492794,-0.06388422039979447,-0.03611652653900327,-0.11849254493022349,19.9979055975647,657.1488037109375,-0.009401245042681694,-122.85545349121094
34,6.8,-0.05366712399419503,-0.06556512538370807,0.0017795388488441866,0.005838382236841961,20.01197906352554,656.138916015625,-1.4858324527740479,-124.78730010986328
35,7.0,-0.052542098987871606,-0.06419068233348274,-0.008673696124584143,-0.02845700919338064,20.006769106852662,655.0792236328125,-2.9273529052734375,-126.7378158569336
36,7.2,-0.05184722547330866,-0.06334175536074119,-0.03165187626131488,-0.10384474171317232,19.99328172788922,653.9721069335938,-4.331479072570801,-128.67221069335938
37,7.4,-0.05337385364584024,-0.06520683699912302,0.0006405042747120726,0.002101392044646356,19.983849431249833,652.8195190429688,-5.6970696449279785,-130.57757568359375
38,7.6,-0.052700135638875295,-0.06438375571001395,-0.006827566008906549,-0.022400151664660962,19.983963474708553,651.6218872070312,-7.022698879241943,-132.51319885253906
39,7.8,-0.052068971262217656,-0.06361266219105131,-0.026950167303743083,-0.08841918689681245,19.993071541009623,650.3797607421875,-8.307493209838867,-134.44667053222656
40,8.0,-0.051876744749886614,-0.06337781906093648,-0.058856873030532775,-0.19309998331349315,20.002618932532314,649.0948486328125,-9.550703048706055,-136.3591766357422
41,8.2,-0.053819336726442846,-0.06575108367869523,-0.003549615453631083,-0.011645720364891003,20.005742062899543,647.768798828125,-10.750946044921875,-138.26065063476562
42,8.4,-0.05297818433733458,-0.06472344780492166,-0.019984334318500885,-0.06556540340551044,20.000908642087463,646.4030151367188,-11.905509948730469,-140.20928955078125
43,8.6,-0.05218866853589786,-0.06375889635030642,-0.04933582049467522,-0.16186293331175025,19.995430666359972,644.9992065429688,-13.012713432312012,-142.1556396484375
44,8.8,-0.05392159435347253,-0.0658760118216374,-0.0001831505989260962,-0.0006008878109806934,19.993543941890202,643.5591430664062,-14.071989059448242,-144.07423400878906
45,9.0,-0.052781247370113936,-0.0644828499120682,-0.01494661957707659,-0.049037467373255955,19.99465608936887,642.083984375,-15.081660270690918,-146.0281219482422
46,9.2,-0.05195389123783156,-0.06347206892525882,-0.04258778821507164,-0.13972371908753564,19.999079351641274,640.5751953125,-16.040857315063477,-147.97035217285156
47,9.4,-0.05362963769116221,-0.06551932836729288,0.0006581482340353717,0.0021592790521526087,20.002601632186163,639.0349731445312,-16.949291229248047,-149.8815460205078
48,9.6,-0.052688075615886704,-0.06436902197992879,-0.011663374877607526,-0.038265666833449875,20.001724108144302,637.46484375,-17.805118560791016,-151.826416015625
49,9.8,-0.051966020245681144,-0.06348688693414865,-0.036734268927232805,-0.12051925886722248,19.99976657228139,635.8666381835938,-18.607276916503906,-153.76373291015625
50,10.0,-0.05358755277493404,-0.06546791322513691,0.0008845817184890414,0.0029021710852875867,19.99826633303232,634.24267578125,-19.35553550720215,-155.67404174804688
51,10.2,-0.05271178974496153,-0.0643979935314195,-0.008907150548642925,-0.029222935806009653,19.997079648196685,632.5945434570312,-20.04837417602539,-157.61746215820312
52,10.4,-0.05201025475198138,-0.06354092823049565,-0.03136193414338223,-0.10289348801497415,19.99850706289108,630.923828125,-20.685077667236328,-159.5545654296875
53,10.6,-0.05355159029496167,-0.06542397786335467,0.0007361789180647116,0.002415285241543428,20.000709100292156,629.2326049804688,-21.265649795532227,-161.46609497070312
54,10.8,-0.05273966309851594,-0.06443204640745692,-0.006495527494954884,-0.02131078642654778,20.00074174283495,627.5226440429688,-21.78870964050293,-163.40927124023438
55,11.0,-0.05205141872506522,-0.06359121825641217,-0.026368005161528457,-0.08650920605414902,20.000514310054193,625.7958984375,-22.25362777709961,-165.34706115722656
56,11.2,-0.05184809555866338,-0.06334281834401906,-0.05815564528104694,-0.19079936726387003,20.00010420935068,624.0546875,-22.66053581237793,-167.2600860595703
57,11.4,-0.053782461704047144,-0.0657060334638344,-0.0034012861973924946,-0.011159075807853192,19.999717628107472,622.301025390625,-23.009382247924805,-169.16061401367188
58,11.6,-0.0529568259654307,-0.06469735428196668,-0.01967266349130351,-0.0645428612888082,19.998495115123497,620.5364990234375,-23.298654556274414,-171.1074676513672
59,11.8,-0.05193701193969311,-0.06345144748672307,-0.04877725195394912,-0.16003035930059445,19.999088102949763,618.7633666992188,-23.527862548828125,-173.05282592773438
60,12.0,-0.05355346276496045,-0.06542626545995218,0.0001259661587848654,0.00041327481238773774,20.000587018693857,616.9832763671875,-23.697641372680664,-174.96519470214844
61,12.2,-0.039221666181885856,-0.04791710957440995,-0.013696488452175592,-0.04493598717343577,20.000300902079985,615.1986083984375,-23.807125091552734,-176.90785217285156
62,12.4,-0.018863141374088,-0.02304509981672331,-0.003769663809081239,-0.012367663811386091,20.006570857614182,613.4109497070312,-23.865047454833984,-178.50186157226562
63,12.6,-0.00437249602736121,-0.00534187839662719,0.008460005905698849,0.02775592577565301,20.012610491420478,611.6219482421875,-23.8903751373291,-179.42922973632812
64,12.8,0.0017389295537646916,0.002124450235834324,0.006564727283064525,0.021537819859369416,20.011661202442756,609.8325805664062,-23.90157699584961,-179.76431274414062
65,13.0,0.004243677011961944,0.005184500205513907,0.0018856749874400554,0.0061865979257928316,20.00532706349852,608.043701171875,-23.909992218017578,-179.77769470214844
66,13.2,0.0017854513892046158,0.002181285962191279,-9.903220541887395e-05,-0.0003249088208264584,19.999171803617127,606.2554321289062,-23.921098709106445,-179.6526641845703
67,13.4,-0.0006900051691997495,-0.000842979315211334,0.0007194210783443356,0.0023603054506752302,19.99728809511354,604.4673461914062,-23.935007095336914,-179.56138610839844
68,13.6,-0.0011179454400498756,-0.001365793944108933,0.0020371703164255854,0.006683629860941718,19.999675391354724,602.67919921875,-23.94941520690918,-179.558349609375
69,13.8,-0.00044600197777524186,-0.000544880616248013,0.0025309054109206803,0.008303495708365005,20.003345761938508,600.8910522460938,-23.962997436523438,-179.5935516357422
70,14.0,0.00013280790144014297,0.00016225141318942267,0.002288247828623136,0.00750737500605993,20.005101022972468,599.1023559570312,-23.975849151611328,-179.61721801757812
71,14.2,0.0002836020732921257,0.00034647665294099,0.0018811158554255351,0.006171640143114313,20.003892049556217,597.3135986328125,-23.988536834716797,-179.6192169189453
72,14.4,0.00018425414642300966,0.0002251032906849909,0.0016734990562383423,0.005490482643669003,20.00112363842573,595.525390625,-24.001420974731445,-179.61085510253906
73,14.6,-0.00026431246690591085,-0.0003229105408189513,0.0016815482616381423,0.005516890798712883,19.99905594062586,593.7373046875,-24.014516830444336,-179.60311889648438
74,14.8,-2.469729823152381e-05,-3.017268924945264e-05,0.0016062393397476196,0.0052698142754175805,19.9988992388066,591.9491577148438,-24.027530670166016,-179.60806274414062
75,15.0,0.000180660443104717,0.00022071286334103275,0.0014195468273366946,0.004657306012999321,20.000216733639597,590.1610717773438,-24.040433883666992,-179.6114044189453
76,15.2,0.0001367919027371844,0.00016711866757401818,0.0013296796850804683,0.0043624662979994035,20.00160190891972,588.3729248046875,-24.053434371948242,-179.60723876953125
77,15.4,1.4357409744771881e-05,1.754044748518781e-05,0.001396332196708612,0.004581142524249482,20.001937294947027,586.5847778320312,-24.066591262817383,-179.60189819335938
78,15.6,-4.456757168435764e-05,-5.4448202326779724e-05,0.0015413881970557809,0.005057048052428488,20.00116818798928,584.7966918945312,-24.079824447631836,-179.60006713867188
79,15.8,-3.1688801192582546e-05,-3.8714208416978096e-05,0.0016613237826537384,0.005450537519081691,20.000066536107393,583.008544921875,-24.093034744262695,-179.60113525390625
80,16.0,-3.729824811846438e-06,-4.556726972632794e-06,0.0017412061202068062,0.005712618687419298,19.99947712518431,581.2203979492188,-24.106204986572266,-179.60252380371094
