step,time_sec,steer_norm,steer_rad,cte_m,cte_ft,speed_mph,x,y,yaw
0,0.0,0.0001355743153543632,0.0001656311410684255,2.200592614946253e-05,7.219792274820265e-05,19.712663427831885,29.84031867980957,143.05177307128906,0.22895440459251404
1,0.2,0.0007833387309711593,0.0009570049276274653,-0.0006031176146770482,-0.001978732394937047,20.52662074489927,31.661413192749023,143.05860900878906,0.21136890351772308
2,0.4,0.00031023177786544285,0.00037901016301821155,-0.0007610282603304936,-0.0024968119576226967,19.73010095020989,33.46902847290039,143.06585693359375,0.2324645221233368
3,0.6,-0.00014359589178496523,-0.00017543110099369204,-0.0004592134197205727,-0.0015066057559560437,18.567828788530452,35.17932891845703,143.0731658935547,0.24801404774188995
4,0.8,-0.00022988022551988696,-0.0002808446715176459,-9.155755393476278e-05,-0.0003003856852513271,17.87385823910576,36.802799224853516,143.08018493652344,0.2478802502155304
5,1.0,-0.00013305557818886558,-0.00016255399987333708,9.07500687750756e-05,0.00029773645564001904,18.161363934612545,38.40819549560547,143.08694458007812,0.24120907485485077
6,1.2,-9.171602854193334e-05,-0.00011204947206967996,0.00013357431444110598,0.00043823595379095814,19.29652784289598,40.08488082885742,143.09385681152344,0.23574399948120117
7,1.4,4.906661129280951e-05,5.9944679016425376e-05,5.236556341586471e-05,0.00017180303507730556,20.2242982605137,41.86260223388672,143.10105895996094,0.23191244900226593
8,1.6,8.763319559202598e-05,0.00010706147505477815,-7.123979741003044e-05,-0.00023372637693472426,20.31362906631488,43.68418884277344,143.1083984375,0.23221632838249207
9,1.8,3.2670520575701135e-05,3.9913574987334074e-05,-0.0001114846112964937,-0.0003657631721259884,19.817088433551376,45.48170471191406,143.11572265625,0.2349834144115448
10,2.0,-2.671519250031811e-05,-3.2637950677638634e-05,-5.3509767069870843e-05,-0.00017555698419351507,19.2887979704376,47.22917938232422,143.12294006347656,0.23675669729709625
11,2.2,-2.5576175736201365e-05,-3.1246413896917206e-05,-3.256759798045102e-05,-0.00010684907815818292,19.128423024310223,48.944725036621094,143.12998962402344,0.2364608645439148
12,2.4,-1.1474331424167033e-05,-1.4018190700904865e-05,-1.634621418083711e-05,-5.3629313333057624e-05,19.436291307230274,50.66887283325195,143.13706970214844,0.23555949330329895
13,2.6,-5.65449658484511e-06,-6.908098477705271e-06,7.36665357775005e-06,2.4168811724025472e-05,19.916857634575877,52.43215560913086,143.14431762695312,0.23497220873832703
14,2.8,4.475287528692609e-06,5.467458773803761e-06,-4.738050811289862e-06,-1.5544786623712232e-05,20.17513749196519,54.23025131225586,143.15167236328125,0.23467127978801727
15,3.0,2.8591396359190723e-05,3.4930108932023306e-05,-5.988341376354789e-05,-0.00019646789921199846,20.09977577998624,56.03512954711914,143.1590118408203,0.2347225844860077
16,3.2,8.437737140290443e-08,1.0308383464292833e-07,-4.756697315341568e-05,-0.00015605962820065228,19.85890533153116,57.823543548583984,143.16635131835938,0.2355276346206665
17,3.4,-2.581540513995754e-05,-3.153868045948613e-05,1.068781188608061e-06,3.506500074832871e-06,19.683084472555645,59.5919189453125,143.17364501953125,0.23583044111728668
18,3.6,-5.397449666526596e-07,-6.594064257595542e-07,-2.8172282652056248e-05,-9.242875181617221e-05,19.697892504269824,61.35322952270508,143.1808319091797,0.2351774275302887
19,3.8,6.560633592603087e-06,8.015126060083191e-06,-3.47474602485989e-05,-0.00011400085748201322,19.863102150898214,63.12390899658203,143.18807983398438,0.23490390181541443
20,4.0,-1.945780394450823e-06,-2.3771599079005703e-06,-1.57129714472618e-05,-5.15517452430344e-05,20.029254808546288,64.91067504882812,143.19541931152344,0.2350456863641739
21,4.2,2.893288066181091e-06,3.534730030453439e-06,-3.699833264347689e-05,-0.00012138560967002473,20.07937717487207,66.70729064941406,143.2027587890625,0.2350510209798813
22,4.4,4.6312740412406634e-06,5.6580274961837186e-06,-5.24698006899426e-05,-0.0001721450208955913,20.014163615457736,68.50248718261719,143.21009826660156,0.2351135015487671
23,4.6,-5.24805468168981e-06,-6.411548404620441e-06,-1.945589581009346e-05,-6.383168120958702e-05,19.917534685295223,70.2895736694336,143.2174530029297,0.23526905477046967
24,4.8,-2.4125094491022252e-05,-2.9473627939681884e-05,2.5555879394865977e-05,8.384475135385209e-05,19.873199444656155,72.07000732421875,143.22479248046875,0.23518329858779907
25,5.0,-3.0372762913970137e-05,-3.710640445199732e-05,8.672374220748116e-05,0.0002845267223839925,19.906113159673954,73.8502197265625,143.23214721679688,0.23449891805648804
26,5.2,6.08753202612077e-06,7.437137876311745e-06,6.536988907056914e-05,0.00021446814685828605,19.977601563144262,75.63567352294922,143.23944091796875,0.23345254361629486
27,5.4,1.036517515577948e-05,1.266313448781579e-05,6.590225593094056e-05,0.00021621475734846703,20.02829658395798,77.42696380615234,143.2467803955078,0.23329417407512665
28,5.6,6.722789700304109e-06,8.21323217686153e-06,7.278489912697009e-05,0.00023879560845172854,20.028570171482528,79.22042846679688,143.25413513183594,0.2336096316576004
