step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,0.011023,-0.018281,0,19.627
1,10.0,656.29,13.7636,-109.6747,-0.054492,0.015817,0,18.764
2,12.0,655.7118,12.2342,-110.869,-0.036403,0.029701,0,17.961
3,14.0,655.112,10.7573,-112.2065,-0.026216,0.027895,0,17.867
4,16.0,654.4725,9.2579,-113.1765,-0.058841,0.046686,0,18.68
5,16.0,653.7532,7.6959,-114.9201,-0.096312,0.14867,0,19.682
6,18.0,652.9297,6.1136,-117.9594,-0.095476,0.184737,0,20.076
7,20.0,652.0162,4.5779,-121.3725,-0.05174,0.183393,0,19.842
8,22.0,651.0555,3.1103,-123.6831,-0.056541,0.167498,0,19.426
9,22.0,650.061,1.7042,-125.6533,-0.06135,0.20579,0,19.179
10,24.0,649.0174,0.3404,-127.7494,-0.055573,0.204846,0,19.302
11,26.0,647.9099,-1.0052,-129.7647,-0.075493,0.201362,0,19.684
12,28.0,646.7255,-2.3277,-132.263,-0.060555,0.186584,0,19.987
13,30.0,645.4769,-3.613,-134.5982,-0.057191,0.163784,0,20.051
14,30.0,644.1851,-4.8478,-136.7162,-0.061098,0.210111,0,19.913
15,32.0,642.8591,-6.0226,-138.8788,-0.047668,0.204556,0,19.745
16,34.0,641.502,-7.1462,-140.728,-0.102811,0.201627,0,19.702
17,36.0,640.0906,-8.2007,-143.77,-0.058453,0.172455,0,19.752
18,36.0,638.6224,-9.1965,-146.2816,-0.063529,0.183237,0,19.928
19,38.0,637.1046,-10.141,-148.5459,-0.051014,0.153263,0,20.041
20,40.0,635.5497,-11.0336,-150.5307,-0.056924,0.124196,0,20.046
21,42.0,633.9685,-11.8693,-152.5428,-0.057742,0.097119,0,19.966
22,44.0,632.3648,-12.6438,-154.6203,-0.06458,0.069172,0,19.891
23,44.0,630.736,-13.3536,-156.8747,-0.03298,0.09945,0,19.876
24,46.0,629.0847,-14.0175,-158.3953,-0.073335,0.101739,0,19.941
25,48.0,627.4056,-14.6219,-160.6262,-0.067573,0.102496,0,19.985
26,50.0,625.6988,-15.155,-163.1057,-0.065717,0.091124,0,20.015
27,52.0,623.9703,-15.6169,-165.5056,-0.050578,0.069686,0,20.008
28,52.0,622.2274,-16.0159,-167.5021,-0.072319,0.118161,0,19.99
29,54.0,620.4728,-16.3432,-169.8941,-0.051551,0.111526,0,19.956
30,56.0,618.7078,-16.6047,-171.966,-0.055757,0.102334,0,19.965
31,58.0,616.9332,-16.8049,-173.9536,-0.105224,0.09519,0,19.986
32,60.0,615.1518,-16.9114,-177.1741,-0.086477,0.068298,0,19.962
