step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,-0.010057,-0.018281,0,19.627
1,10.0,656.2774,13.768,-110.2002,-0.034214,0.002446,0,18.766
2,12.0,655.6912,12.2401,-111.1264,-0.015507,0.008395,0,17.981
3,14.0,655.1,10.7578,-111.8063,-0.048915,0.016775,0,17.88
4,16.0,654.4626,9.2584,-113.1445,-0.036179,0.037771,0,18.659
5,16.0,653.7532,7.6932,-114.502,-0.137016,0.149996,0,19.671
6,18.0,652.9314,6.1149,-118.1316,-0.095151,0.185464,0,20.014
7,20.0,652.0066,4.5899,-121.8964,-0.04047,0.16879,0,19.829
8,22.0,651.0381,3.1262,-123.9418,-0.055859,0.144057,0,19.454
9,22.0,650.0378,1.7201,-125.7899,-0.073098,0.177766,0,19.219
10,24.0,648.9838,0.3613,-128.1641,-0.068437,0.1656,0,19.317
11,26.0,647.8581,-0.9688,-130.6083,-0.053107,0.138541,0,19.669
12,28.0,646.6633,-2.2811,-132.6674,-0.089987,0.109622,0,19.982
13,30.0,645.3978,-3.5465,-135.526,-0.038422,0.061413,0,20.021
14,30.0,644.0904,-4.763,-137.4409,-0.080216,0.083675,0,19.914
15,32.0,642.7454,-5.9153,-139.8938,-0.034442,0.049494,0,19.742
16,34.0,641.3703,-7.0182,-141.5827,-0.03901,0.020419,0,19.718
17,36.0,639.9651,-8.0891,-142.9653,-0.055629,0.009926,0,19.817
18,36.0,638.5182,-9.1221,-144.7985,-0.097783,0.0635,0,19.946
19,38.0,637.0164,-10.0863,-147.8422,-0.022007,0.060952,0,19.983
20,40.0,635.4821,-11.0043,-149.4147,-0.096416,0.066418,0,20.0
21,42.0,633.915,-11.855,-152.0436,-0.042977,0.061208,0,19.913
22,44.0,632.3192,-12.6426,-154.1059,-0.050521,0.050539,0,19.909
23,44.0,630.6983,-13.3805,-155.8835,-0.056106,0.109788,0,19.937
24,46.0,629.0502,-14.0637,-157.8537,-0.11639,0.133565,0,19.978
25,48.0,627.3672,-14.6536,-161.3233,-0.059736,0.121576,0,19.946
26,50.0,625.6555,-15.1599,-164.0226,-0.023765,0.085245,0,19.984
27,52.0,623.9277,-15.6228,-165.2968,-0.087361,0.06717,0,20.018
28,52.0,622.1847,-16.0172,-167.7357,-0.079423,0.111015,0,19.977
29,54.0,620.4262,-16.3234,-170.6378,-0.06238,0.085091,0,19.965
30,56.0,618.6556,-16.5535,-173.0711,-0.03755,0.04615,0,19.981
31,58.0,616.8763,-16.729,-174.7075,-0.079674,0.016457,0,20.012
32,60.0,615.0916,-16.8327,-177.1416,-0.04057,-0.01107,0,19.993
33,60.0,613.3041,-16.875,-179.0006,-0.006823,0.01088,0,20.004
34,62.0,611.5153,-16.8917,-179.6292,-0.019808,0.009217,0,20.012
35,64.0,609.7261,-16.8887,179.7618,0.023401,-0.006926,0,20.009
36,66.0,607.9378,-16.8921,-179.8366,0.025292,-0.016632,0,19.997
37,68.0,606.1505,-16.9204,-178.9561,-0.009768,-0.001342,0,19.994
38,70.0,604.3632,-16.9529,-178.9441,-0.017831,0.01807,0,19.997
39,72.0,602.5751,-16.9712,-179.492,-0.080982,0.023243,0,20.003
40,74.0,600.7897,-16.931,178.3192,0.08131,-0.029996,0,19.968
41,74.0,599.0083,-16.9035,179.3265,0.000588,-0.070566,0,19.917
42,76.0,597.2253,-16.9047,-179.8956,0.036648,-0.082372,0,19.975
43,78.0,595.4366,-16.9326,-178.9012,-0.012194,-0.067575,0,20.038
44,80.0,593.6437,-16.9682,-178.8486,0.011688,-0.04515,0,20.066
45,82.0,591.8507,-17.0088,-178.647,-0.030684,-0.017671,0,20.047
46,84.0,590.0611,-17.0336,-179.3279,-0.001399,-0.005981,0,19.996
47,86.0,588.2747,-17.0457,-179.6668,0.022131,-0.006933,0,19.972
48,88.0,586.4895,-17.0708,-179.1234,-0.013273,0.005118,0,19.976
49,90.0,584.7026,-17.0951,-179.2483,0.030842,0.016299,0,20.001
50,92.0,582.9143,-17.1358,-178.5717,-0.045782,0.043887,0,20.016
51,92.0,581.1259,-17.1583,-179.4353,0.00712,0.053307,0,20.001
52,94.0,579.3378,-17.1689,-179.6906,0.007429,0.050793,0,20.002
53,96.0,577.5493,-17.1856,-179.4485,-0.00608,0.054498,0,20.007
54,98.0,575.7606,-17.2008,-179.5297,-0.010746,0.056565,0,20.01
55,100.0,573.9715,-17.2067,-179.8672,0.01481,0.049336,0,20.009
56,102.0,572.1829,-17.2181,-179.5936,0.027068,0.047671,0,20.003
57,104.0,570.3952,-17.253,-178.7483,-0.006149,0.069444,0,19.997
58,106.0,568.6078,-17.2949,-178.6287,-0.056257,0.098266,0,19.998
59,108.0,566.8211,-17.2995,179.9102,0.001642,0.089839,0,19.982
60,108.0,565.0341,-17.2835,179.3919,0.052208,0.060685,0,19.995
61,110.0,563.2469,-17.299,-179.3104,-0.004274,0.063192,0,19.994
62,112.0,561.459,-17.3313,-178.903,-0.031358,0.082348,0,20.007
63,114.0,559.6703,-17.3432,-179.7308,-0.006979,0.081118,0,20.01
64,116.0,557.8809,-17.3387,179.7715,0.045768,0.063574,0,20.013
65,118.0,556.093,-17.3605,-179.1382,-0.020772,0.072303,0,19.992
66,120.0,554.3065,-17.3854,-179.2229,-0.017848,0.084122,0,19.984
67,122.0,552.5192,-17.3921,-179.8714,0.015579,0.07767,0,19.998
68,124.0,550.7307,-17.4021,-179.6555,0.024467,0.072671,0,20.011
