step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
79,144.0,530.8898,-17.4241,-179.7361,-0.008945,0.044579,0,20.003
80,144.0,529.1016,-17.4242,179.9558,0.001196,0.04075,0,20.003
81,146.0,527.3135,-17.4214,179.8927,0.008254,0.034038,0,20.001
82,148.0,525.5254,-17.4241,-179.8851,-0.001794,0.032815,0,19.999
83,150.0,523.7372,-17.4287,-179.8482,0.002385,0.033514,0,19.999
84,152.0,521.9492,-17.4346,-179.7995,0.006246,0.035518,0,20.0
85,154.0,520.161,-17.4458,-179.6131,0.000424,0.042784,0,20.001
86,156.0,518.3729,-17.4598,-179.5375,-0.010336,0.052924,0,20.001
87,158.0,516.5848,-17.4674,-179.7991,0.001055,0.056613,0,20.0
88,160.0,514.7966,-17.4718,-179.8755,-0.011586,0.057057,0,20.0
89,160.0,513.0085,-17.4682,179.8276,0.009191,0.049616,0,19.999
90,162.0,511.2204,-17.4661,179.9504,0.007234,0.043625,0,19.999
91,164.0,509.4323,-17.472,-179.7743,-0.02674,0.045595,0,20.0
92,166.0,507.6445,-17.463,179.6104,0.007297,0.032692,0,19.995
93,168.0,505.8569,-17.4489,179.536,0.018485,0.01466,0,19.997
94,170.0,504.0688,-17.449,-179.9239,0.010749,0.010839,0,20.0
95,172.0,502.2806,-17.4635,-179.4543,-0.001683,0.02146,0,20.004
96,174.0,500.492,-17.4821,-179.3793,-0.030385,0.036193,0,20.005
97,176.0,498.704,-17.4806,179.8231,-0.011118,0.030788,0,19.996
98,178.0,496.9164,-17.4598,179.2279,0.03661,0.006059,0,19.996
99,178.0,495.1293,-17.4576,-179.9559,-0.006318,-8e-05,0,19.989
100,180.0,493.342,-17.4643,-179.7607,-0.025102,0.002776,0,19.995
101,182.0,491.5539,-17.4531,179.5432,-0.028114,-0.012298,0,20.002
102,184.0,489.7658,-17.4135,178.5593,-0.030655,-0.055836,0,20.007
103,186.0,487.9786,-17.3409,177.4682,-0.033523,-0.132341,0,20.005
104,188.0,486.1937,-17.2318,176.2759,0.214388,-0.245309,0,19.999
105,190.0,484.4213,-17.2082,-179.9582,0.032948,-0.272828,0,19.725
106,192.0,482.6542,-17.2931,-176.8938,-0.035992,-0.191792,0,19.876
