step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
79,142.0,531.1111,-13.8406,179.6156,0.011295,-3.538464,0,19.999
80,144.0,529.3229,-13.8375,179.937,0.016488,-3.54551,0,20.001
81,146.0,527.5349,-13.8496,-179.5185,0.005123,-3.537222,0,20.002
82,148.0,525.7466,-13.8724,-179.2122,0.011229,-3.518354,0,20.002
83,150.0,523.9587,-13.9059,-178.8583,-0.001081,-3.488805,0,20.001
84,152.0,522.1711,-13.9437,-178.7697,-0.003835,-3.4549,0,20.0
85,154.0,520.3836,-13.9792,-178.8744,-0.03672,-3.423298,0,20.0
86,156.0,518.5961,-13.9888,-179.8625,-0.040448,-3.41763,0,19.991
87,158.0,516.8094,-13.9566,178.7227,-0.023303,-3.453686,0,19.99
88,158.0,515.0229,-13.8909,177.6928,-0.000512,-3.523242,0,20.001
89,160.0,513.2359,-13.813,177.4218,0.029185,-3.605135,0,20.01
90,162.0,511.4482,-13.7523,178.1585,0.05285,-3.669737,0,20.004
91,164.0,509.6609,-13.7377,179.8099,0.021205,-3.688192,0,19.987
92,166.0,507.874,-13.7595,-179.0961,-0.014571,-3.67028,0,19.993
93,168.0,506.0863,-13.7831,-179.232,-0.012538,-3.650614,0,20.001
94,170.0,504.2978,-13.7946,-179.6922,-0.012432,-3.642987,0,20.009
95,172.0,502.5086,-13.7927,179.8501,0.003666,-3.648847,0,20.01
96,174.0,500.7198,-13.7874,179.8129,-0.003528,-3.658008,0,20.005
97,176.0,498.9316,-13.7803,179.7505,-0.007175,-3.669004,0,19.999
98,176.0,497.1438,-13.7669,179.5292,0.012026,-3.686378,0,19.996
99,178.0,495.3562,-13.7585,179.768,0.028538,-3.698632,0,19.997
100,180.0,493.5687,-13.7737,-179.375,-0.0107,-3.687358,0,19.997
101,182.0,491.7809,-13.7934,-179.3604,-0.015069,-3.671586,0,20.0
102,184.0,489.9927,-13.8002,-179.8448,-0.001784,-3.668602,0,20.003
103,186.0,488.204,-13.8,179.9517,0.012574,-3.67272,0,20.006
104,188.0,486.4154,-13.8067,-179.7474,-0.007608,-3.669932,0,20.003
105,190.0,484.6273,-13.8128,-179.8203,-0.012065,-3.66771,0,19.999
106,192.0,482.8391,-13.8083,179.7952,-0.006805,-3.676126,0,19.998
107,192.0,481.051,-13.7943,179.4921,0.01867,-3.694069,0,19.999
108,194.0,479.2629,-13.7894,179.9016,0.008997,-3.70286,0,19.999
109,196.0,477.4748,-13.7974,-179.6797,-0.00859,-3.698768,0,20.001
110,198.0,475.6866,-13.8039,-179.8029,-0.009792,-3.696165,0,20.002
111,200.0,473.8985,-13.8012,179.8605,0.022576,-3.702794,0,20.002
112,202.0,472.1106,-13.8096,-179.657,0.005069,-3.698317,0,19.996
113,204.0,470.3231,-13.8297,-179.303,-0.013807,-3.682097,0,19.998
114,206.0,468.5349,-13.8434,-179.5992,-0.008027,-3.672287,0,19.999
115,208.0,466.7468,-13.8469,-179.9444,0.006767,-3.672703,0,20.003
116,208.0,464.9582,-13.8513,-179.8563,0.001236,-3.67225,0,20.003
117,210.0,463.17,-13.8585,-179.7604,-0.006643,-3.668922,0,20.002
118,212.0,461.3818,-13.8619,-179.9179,-0.004705,-3.669465,0,20.0
119,214.0,459.5937,-13.8596,179.893,0.0201,-3.675666,0,19.999
120,216.0,457.806,-13.8686,-179.6361,-0.001806,-3.670493,0,19.996
121,218.0,456.0182,-13.8841,-179.4836,-0.006176,-3.658946,0,19.998
122,220.0,454.2301,-13.8955,-179.6523,-0.010674,-3.651415,0,20.002
123,222.0,452.4417,-13.8976,-179.9933,-0.001841,-3.653253,0,20.003
124,224.0,450.6532,-13.8939,179.8473,0.003285,-3.660873,0,20.003
125,226.0,448.8651,-13.891,179.9084,-0.017566,-3.669706,0,20.001
126,226.0,447.0772,-13.8773,179.4835,-0.016435,-3.683276,0,19.996
127,228.0,445.2897,-13.8456,178.8805,0.029973,-3.712715,0,19.997
128,230.0,443.5022,-13.8267,179.4807,0.035447,-3.725553,0,19.991
129,232.0,441.7149,-13.8422,-179.3111,-0.022854,-3.703531,0,19.994
130,234.0,439.9274,-13.8574,-179.532,-0.015842,-3.681776,0,19.995
131,236.0,438.1392,-13.8552,179.8461,0.005912,-3.677463,0,20.005
132,238.0,436.3505,-13.8504,179.8295,0.009211,-3.67575,0,20.01
133,240.0,434.5617,-13.8531,-179.8798,-0.019259,-3.666586,0,20.008
134,242.0,432.7733,-13.8463,179.7156,-0.011539,-3.666816,0,19.998
135,242.0,430.9857,-13.8247,179.2262,-0.002571,-3.681947,0,19.995
136,244.0,429.1982,-13.7959,179.0323,0.028422,-3.704159,0,19.998
137,246.0,427.4107,-13.7844,179.7356,-0.009536,-3.709249,0,19.996
138,248.0,425.6227,-13.7771,179.771,-0.005673,-3.709957,0,19.999
139,250.0,423.8345,-13.7636,179.5419,0.004902,-3.716995,0,20.004
140,252.0,422.0458,-13.7512,179.6083,0.0312,-3.722876,0,20.006
141,254.0,420.2577,-13.7613,-179.5376,-0.013803,-3.706255,0,19.998
142,256.0,418.4702,-13.7745,-179.5804,-0.01759,-3.686504,0,19.993
143,258.0,416.6826,-13.7721,179.84,-0.000525,-3.682462,0,19.997
144,260.0,414.8944,-13.7622,179.6426,0.019278,-3.685783,0,20.004
145,260.0,413.1057,-13.7641,-179.8715,-0.009342,-3.67737,0,20.005
146,262.0,411.317,-13.7669,-179.9216,-0.01195,-3.66804,0,20.003
147,264.0,409.5289,-13.7589,179.6831,-0.002992,-3.669613,0,20.0
148,266.0,407.7408,-13.7439,179.4798,0.027795,-3.67804,0,20.0
149,268.0,405.953,-13.7457,-179.8371,-0.003598,-3.669715,0,19.994
150,270.0,404.1654,-13.7557,-179.6537,-0.011853,-3.653256,0,19.997
151,272.0,402.3773,-13.7575,-179.984,-0.010865,-3.644955,0,20.002
152,274.0,400.5887,-13.7476,179.6121,0.008825,-3.648336,0,20.006
153,276.0,398.8,-13.7387,179.7258,-0.010128,-3.650646,0,20.004
154,276.0,397.0117,-13.7258,179.5448,-0.007734,-3.657074,0,20.0
155,278.0,395.2236,-13.7038,179.2451,-0.00083,-3.67258,0,19.998
156,280.0,393.4356,-13.6778,179.1399,0.024588,-3.692086,0,19.999
157,282.0,391.6475,-13.6674,179.7648,0.000516,-3.695956,0,19.997
158,284.0,389.8594,-13.6668,-179.975,-0.01315,-3.689979,0,20.0
159,286.0,388.0713,-13.6588,179.701,-0.004227,-3.691496,0,20.002
160,288.0,386.2831,-13.6432,179.459,0.022665,-3.700582,0,20.004
161,290.0,384.495,-13.6406,179.9974,0.000238,-3.696667,0,19.999
162,292.0,382.7069,-13.6467,-179.7709,-0.002273,-3.684075,0,19.999
163,294.0,380.9188,-13.6523,-179.8156,-0.002163,-3.67194,0,20.0
164,294.0,379.1306,-13.656,-179.8943,0.002825,-3.661709,0,20.002
165,296.0,377.3425,-13.6608,-179.8435,-0.015017,-3.650469,0,20.003
166,298.0,375.5544,-13.6563,179.7929,-0.012066,-3.648381,0,20.0
167,300.0,373.7663,-13.6379,179.3286,0.001421,-3.660313,0,19.999
168,302.0,371.9781,-13.6149,179.2357,0.015804,-3.676772,0,20.0
