step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,-0.003705,-0.018281,0,19.627
1,10.0,656.2811,13.7666,-110.042,-0.033359,0.006418,0,18.766
2,12.0,655.7009,12.2364,-110.8862,-0.0266,0.018764,0,17.98
3,14.0,655.1099,10.7543,-111.8174,-0.050511,0.027289,0,17.878
4,16.0,654.4689,9.2564,-113.2866,-0.072349,0.044248,0,18.661
5,16.0,653.7338,7.7043,-115.571,-0.083108,0.127645,0,19.656
6,18.0,652.897,6.1296,-118.4167,-0.079377,0.148468,0,20.084
7,20.0,651.9821,4.5925,-121.3105,-0.048,0.146974,0,19.869
8,22.0,651.0272,3.1188,-123.3671,-0.048975,0.139681,0,19.441
9,22.0,650.0446,1.7036,-125.1072,-0.073791,0.192999,0,19.177
10,24.0,649.0104,0.3349,-127.4324,-0.072672,0.202937,0,19.273
11,26.0,647.9012,-1.0054,-129.9805,-0.060546,0.195,0,19.654
12,28.0,646.7162,-2.3267,-132.2669,-0.052916,0.179277,0,19.998
13,30.0,645.4725,-3.6195,-134.2729,-0.06021,0.165638,0,20.078
14,30.0,644.1864,-4.8627,-136.3859,-0.069077,0.222054,0,19.927
15,32.0,642.8632,-6.0408,-138.7729,-0.055734,0.221201,0,19.735
16,34.0,641.5047,-7.1604,-140.9019,-0.101601,0.214657,0,19.682
17,36.0,640.0901,-8.2083,-144.0147,-0.044387,0.1785,0,19.744
18,36.0,638.6229,-9.2059,-146.1631,-0.04503,0.191309,0,19.937
19,38.0,637.1141,-10.1677,-147.8209,-0.062644,0.181052,0,20.061
20,40.0,635.5687,-11.0776,-149.912,-0.064723,0.171974,0,20.044
21,42.0,633.9936,-11.9228,-152.2245,-0.069953,0.15617,0,19.952
22,44.0,632.3914,-12.6966,-154.6889,-0.052268,0.128109,0,19.873
23,44.0,630.7641,-13.4089,-156.7557,-0.056254,0.161285,0,19.882
24,46.0,629.1094,-14.065,-158.7556,-0.088403,0.154811,0,19.945
25,48.0,627.4214,-14.6437,-161.5948,-0.048482,0.127912,0,19.983
26,50.0,625.7076,-15.1566,-163.7488,-0.056683,0.094796,0,20.028
27,52.0,623.9758,-15.6098,-165.7426,-0.051107,0.063844,0,20.017
28,52.0,622.2315,-16.0034,-167.6548,-0.069983,0.106787,0,19.986
29,54.0,620.4766,-16.3273,-169.9879,-0.064533,0.096369,0,19.949
30,56.0,618.7109,-16.5779,-172.3639,-0.075316,0.075987,0,19.953
31,58.0,616.935,-16.7497,-174.9677,-0.034104,0.040108,0,19.972
32,60.0,615.1508,-16.8651,-176.6323,-0.041218,0.021935,0,20.018
33,60.0,613.3615,-16.9345,-178.0835,-0.049932,0.07106,0,20.031
34,62.0,611.5716,-16.9508,-179.8062,0.008489,0.068738,0,20.012
35,64.0,609.7835,-16.9502,179.8907,0.015311,0.05501,0,19.99
36,66.0,607.9969,-16.9598,-179.6541,-0.002921,0.051513,0,19.982
37,68.0,606.2101,-16.9727,-179.5733,-0.004828,0.051365,0,19.99
38,70.0,604.4221,-16.982,-179.7204,-0.001658,0.047534,0,20.005
39,72.0,602.633,-16.9884,-179.8137,0.005054,0.040834,0,20.013
40,74.0,600.8436,-16.9973,-179.7012,0.007415,0.036646,0,20.01
41,74.0,599.0551,-17.013,-179.4577,-0.008942,0.039303,0,20.001
42,76.0,597.2673,-17.0259,-179.613,3.2e-05,0.039072,0,19.993
43,78.0,595.4799,-17.0357,-179.6983,0.005894,0.035777,0,19.993
44,80.0,593.6922,-17.0492,-179.5487,0.000489,0.036204,0,19.999
45,82.0,591.904,-17.0652,-179.4766,-0.004716,0.039152,0,20.004
46,84.0,590.1152,-17.0785,-179.5916,-0.004041,0.039371,0,20.006
47,86.0,588.3265,-17.0874,-179.7444,0.008453,0.035119,0,20.003
48,88.0,586.5384,-17.1001,-179.5675,-0.001459,0.034758,0,19.998
49,90.0,584.7505,-17.1149,-179.5226,-0.003639,0.036476,0,19.997
50,92.0,582.9625,-17.127,-179.6279,-0.002218,0.035478,0,19.998
51,92.0,581.1744,-17.1362,-179.7232,0.014132,0.031608,0,20.001
52,94.0,579.3863,-17.1539,-179.3798,0.000945,0.03621,0,20.001
53,96.0,577.5981,-17.1777,-179.2138,-0.00822,0.046877,0,20.001
54,98.0,575.81,-17.1969,-179.411,-0.00788,0.053004,0,20.0
55,100.0,574.0219,-17.2078,-179.6987,0.010967,0.050864,0,20.0
56,102.0,572.2338,-17.2227,-179.497,-0.001557,0.052649,0,19.999
57,104.0,570.4457,-17.2403,-179.4316,-0.00123,0.057181,0,19.999
58,106.0,568.6575,-17.2569,-179.4738,-0.014538,0.060621,0,20.001
59,108.0,566.8694,-17.2632,-179.8652,-0.001062,0.053879,0,20.0
60,108.0,565.0813,-17.263,179.9596,0.013151,0.04058,0,20.0
61,110.0,563.2932,-17.2705,-179.7166,0.004413,0.034991,0,19.999
62,112.0,561.505,-17.2859,-179.4698,-0.007266,0.037255,0,20.0
63,114.0,559.7169,-17.2986,-179.6076,-0.005944,0.036951,0,20.0
64,116.0,557.9288,-17.305,-179.8333,0.010009,0.030213,0,20.001
65,118.0,556.1406,-17.3155,-179.6363,0.007952,0.027641,0,20.0
66,120.0,554.3525,-17.335,-179.3313,-0.004376,0.034,0,20.0
67,122.0,552.5644,-17.355,-179.3599,-0.008925,0.040877,0,20.0
68,124.0,550.7763,-17.3678,-179.6322,0.009241,0.038588,0,20.0
69,124.0,548.9882,-17.3832,-179.4836,-0.000991,0.045802,0,20.0
70,126.0,547.2,-17.4012,-179.4212,-0.013731,0.05732,0,20.0
71,128.0,545.4119,-17.4098,-179.784,-0.005877,0.061952,0,19.999
72,130.0,543.6238,-17.4091,179.9237,0.012626,0.057306,0,20.0
73,132.0,541.8356,-17.4138,-179.8144,-0.00596,0.058166,0,20.0
74,134.0,540.0475,-17.419,-179.8462,-0.007245,0.059439,0,20.0
75,136.0,538.2594,-17.4174,179.9111,0.000204,0.053897,0,20.0
76,138.0,536.4713,-17.4129,179.8404,0.01727,0.045552,0,20.001
77,140.0,534.6832,-17.4198,-179.7126,-0.010162,0.048482,0,19.999
78,142.0,532.895,-17.4264,-179.8033,-0.01072,0.051254,0,19.998
79,142.0,531.1069,-17.4227,179.824,-0.002243,0.043576,0,19.999
80,144.0,529.3188,-17.413,179.6522,0.009287,0.029965,0,20.002
81,146.0,527.5306,-17.4079,179.8655,0.015454,0.021052,0,20.002
82,148.0,525.7426,-17.4167,-179.64,-0.010272,0.025906,0,20.0
83,150.0,523.9544,-17.425,-179.7467,-0.004799,0.030334,0,19.998
84,152.0,522.1663,-17.427,-179.967,0.000622,0.028374,0,19.999
85,154.0,520.3782,-17.4273,179.9956,0.010378,0.024765,0,20.001
86,156.0,518.59,-17.4344,-179.7305,0.001375,0.028019,0,20.001
87,158.0,516.8019,-17.4466,-179.5895,-0.013835,0.036239,0,20.001
88,158.0,515.0138,-17.4504,-179.9301,-0.001858,0.036176,0,19.999
89,160.0,513.2256,-17.4478,179.8828,0.004045,0.029643,0,19.999
90,162.0,511.4375,-17.4465,179.9621,0.001111,0.02448,0,20.0
91,164.0,509.6494,-17.4472,-179.9694,0.004155,0.021315,0,20.001
92,166.0,507.8613,-17.4514,-179.8475,-0.007339,0.021524,0,20.001
93,168.0,506.0732,-17.4523,-179.9961,0.00828,0.018558,0,20.0
94,170.0,504.285,-17.4562,-179.8521,0.008623,0.018507,0,19.999
95,172.0,502.4969,-17.4689,-179.5474,-0.004787,0.027303,0,19.999
96,174.0,500.7088,-17.482,-179.5809,-0.013767,0.036562,0,20.0
97,176.0,498.9207,-17.4846,-179.9828,-0.003118,0.035204,0,20.0
98,176.0,497.1325,-17.4795,179.7945,0.009575,0.026229,0,20.001
99,178.0,495.3444,-17.4789,-179.9951,0.000437,0.021731,0,20.0
