step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,-0.086411,-0.018281,0,19.627
1,10.0,656.2367,13.7869,-111.9876,-0.066562,-0.042334,0,18.72
2,12.0,655.5707,12.2959,-114.3845,-0.077476,-0.124232,0,17.95
3,14.0,654.858,10.871,-116.8262,-0.078247,-0.25037,0,17.87
4,16.0,654.0624,9.4478,-119.3917,-0.034994,-0.404491,0,18.694
5,16.0,653.179,7.9688,-120.9897,-0.047212,-0.486359,0,19.722
6,18.0,652.2225,6.457,-122.5878,-0.042881,-0.598445,0,20.13
7,20.0,651.2238,4.9698,-124.1921,-0.074632,-0.693217,0,19.877
8,22.0,650.1913,3.5533,-126.5211,-0.045281,-0.790632,0,19.383
9,24.0,649.132,2.201,-128.3985,-0.075351,-0.886417,0,19.127
10,24.0,648.0228,0.8963,-130.7353,-0.066689,-0.916768,0,19.26
11,26.0,646.8398,-0.3811,-133.1481,-0.070877,-1.010727,0,19.688
12,28.0,645.5777,-1.6334,-135.6434,-0.059318,-1.116154,0,20.031
13,30.0,644.254,-2.8469,-137.9126,-0.077161,-1.225298,0,20.087
14,32.0,642.8845,-3.9958,-140.5191,-0.060529,-1.345148,0,19.902
15,32.0,641.4821,-5.0755,-142.8609,-0.065287,-1.40147,0,19.719
16,34.0,640.0461,-6.0913,-145.1531,-0.077331,-1.513314,0,19.672
17,36.0,638.5626,-7.0428,-147.781,-0.068035,-1.639731,0,19.778
18,38.0,637.0265,-7.9346,-150.3079,-0.064769,-1.77834,0,19.951
19,40.0,635.4434,-8.768,-152.6867,-0.045763,-1.922957,0,20.05
20,40.0,633.8295,-9.5489,-154.5547,-0.035792,-1.996955,0,20.04
21,42.0,632.2002,-10.2854,-155.9779,-0.032465,-2.091848,0,19.959
22,44.0,630.5614,-10.9826,-157.2023,-0.033432,-2.157044,0,19.891
23,46.0,628.9113,-11.6434,-158.4093,-0.024987,-2.191214,0,19.887
24,48.0,627.2466,-12.2751,-159.4076,-0.026204,-2.188641,0,19.943
25,50.0,625.5665,-12.881,-160.3565,-0.048656,-2.146267,0,20.004
26,50.0,623.8686,-13.4456,-161.8897,-0.045858,-2.013857,0,20.018
27,52.0,622.1554,-13.9608,-163.5753,-0.037773,-1.910972,0,20.0
28,54.0,620.4315,-14.4308,-165.0379,-0.041778,-1.785835,0,19.974
29,56.0,618.6977,-14.8556,-166.5204,-0.055655,-1.639075,0,19.959
30,58.0,616.9523,-15.2252,-168.3895,-0.038826,-1.481447,0,19.96
31,58.0,615.1956,-15.5455,-169.9698,-0.023934,-1.251064,0,19.988
32,60.0,613.4302,-15.8317,-171.0112,-0.044355,-1.03087,0,20.014
33,62.0,611.6578,-16.0762,-172.4206,-0.0405,-0.805262,0,20.01
34,64.0,609.8804,-16.2741,-173.9259,-0.04085,-0.620324,0,19.996
35,66.0,608.0999,-16.4261,-175.4117,-0.030781,-0.481446,0,19.984
36,68.0,606.3167,-16.5383,-176.6412,-0.0062,-0.382244,0,19.986
37,70.0,604.5316,-16.6313,-177.1354,-0.008808,-0.302296,0,19.999
38,72.0,602.7449,-16.7135,-177.4462,-0.00296,-0.233203,0,20.008
39,74.0,600.9575,-16.7891,-177.6171,-0.025748,-0.17068,0,20.009
40,74.0,599.1701,-16.8455,-178.3203,-0.009583,-0.127333,0,19.998
41,76.0,597.3827,-16.8849,-178.831,0.001323,-0.101027,0,19.994
42,78.0,595.5952,-16.92,-178.9074,0.001891,-0.079003,0,19.995
43,80.0,593.8077,-16.9559,-178.8508,-0.015897,-0.056185,0,20.0
44,82.0,592.0197,-16.9817,-179.245,-0.006259,-0.043547,0,20.001
45,84.0,590.2316,-16.9969,-179.5676,0.006522,-0.041366,0,20.003
46,86.0,588.4434,-17.0134,-179.4694,0.006705,-0.038015,0,20.002
47,88.0,586.6553,-17.0363,-179.2325,-0.008259,-0.028166,0,20.0
48,90.0,584.8672,-17.0565,-179.3767,-0.003305,-0.021093,0,19.998
49,90.0,583.079,-17.0716,-179.5426,0.012647,-0.019098,0,19.999
50,92.0,581.291,-17.0936,-179.251,0.00694,-0.010134,0,19.999
