step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,-0.033946,-0.018281,0,19.627
1,10.0,656.2638,13.7736,-110.7902,-0.074206,-0.012266,0,18.76
2,12.0,655.6357,12.2644,-112.8681,-0.045198,-0.052179,0,17.956
3,14.0,654.9761,10.8133,-114.6043,-0.038861,-0.118898,0,17.868
4,16.0,654.2653,9.3463,-115.9632,-0.033129,-0.177661,0,18.683
5,16.0,653.4827,7.8135,-117.1689,-0.018477,-0.145259,0,19.7
6,18.0,652.6472,6.2327,-117.9869,-0.047429,-0.118844,0,20.126
7,20.0,651.775,4.6684,-119.4149,-0.023539,-0.067471,0,19.874
8,22.0,650.8899,3.1532,-120.5044,-0.094261,0.00885,0,19.413
9,22.0,649.9656,1.7067,-123.0011,-0.129061,0.127705,0,19.094
10,24.0,648.9509,0.3347,-127.0326,-0.058459,0.15704,0,19.188
11,26.0,647.8491,-1.0089,-129.7315,-0.06734,0.158792,0,19.68
12,28.0,646.6658,-2.3386,-132.0845,-0.080508,0.152046,0,20.073
13,30.0,645.4083,-3.6253,-134.8564,-0.059529,0.126832,0,20.119
14,30.0,644.1038,-4.8523,-137.2317,-0.069866,0.158797,0,19.932
15,32.0,642.7642,-6.0098,-139.6468,-0.054105,0.134435,0,19.708
16,34.0,641.3915,-7.1076,-141.7407,-0.044818,0.104805,0,19.653
17,36.0,639.9819,-8.1646,-143.4515,-0.027006,0.082049,0,19.78
18,38.0,638.5366,-9.1996,-144.6193,-0.050638,0.083595,0,19.971
19,38.0,637.0535,-10.203,-146.2223,-0.052044,0.180059,0,20.061
20,40.0,635.5375,-11.1598,-148.089,-0.136278,0.229619,0,20.028
21,42.0,633.9777,-12.0177,-151.9151,-0.083906,0.2351,0,19.847
22,44.0,632.3744,-12.7733,-155.3849,-0.064136,0.192429,0,19.831
23,44.0,630.7344,-13.4556,-157.9172,-0.083249,0.192959,0,19.916
24,46.0,629.0559,-14.0602,-160.7225,-0.092066,0.132157,0,19.998
25,48.0,627.3417,-14.5733,-163.9297,-0.061015,0.037383,0,20.03
