step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,0.011023,-0.018281,0,19.627
1,10.0,656.29,13.7636,-109.6747,-0.054485,0.015817,0,18.764
2,12.0,655.7118,12.2342,-110.8688,-0.036153,0.029702,0,17.961
3,14.0,655.1121,10.7572,-112.2005,-0.025503,0.027979,0,17.867
4,16.0,654.4731,9.2576,-113.151,-0.063913,0.047442,0,18.68
5,16.0,653.752,7.6967,-115.0096,-0.090782,0.147271,0,19.679
6,18.0,652.928,6.1145,-117.9614,-0.091377,0.182769,0,20.082
7,20.0,652.0176,4.5762,-121.2228,-0.053111,0.185493,0,19.849
8,22.0,651.0608,3.1058,-123.5255,-0.059015,0.17438,0,19.426
9,22.0,650.0686,1.6984,-125.5669,-0.06595,0.215415,0,19.174
10,24.0,649.0248,0.3357,-127.7984,-0.055186,0.213558,0,19.294
11,26.0,647.9156,-1.0081,-129.8468,-0.07124,0.207502,0,19.683
12,28.0,646.7311,-2.3311,-132.2371,-0.061542,0.192995,0,19.994
13,30.0,645.483,-3.6177,-134.5569,-0.059668,0.171385,0,20.056
14,30.0,644.1907,-4.8521,-136.7452,-0.063473,0.21711,0,19.912
15,32.0,642.8629,-6.0245,-138.9916,-0.040751,0.208399,0,19.739
16,34.0,641.506,-7.1482,-140.6906,-0.107426,0.20573,0,19.701
17,36.0,640.0956,-8.2031,-143.7527,-0.060293,0.177271,0,19.744
18,36.0,638.6268,-9.1972,-146.3481,-0.064042,0.186279,0,19.926
19,38.0,637.1075,-10.1393,-148.6452,-0.049757,0.153261,0,20.045
20,40.0,635.551,-11.0301,-150.6045,-0.05458,0.121651,0,20.053
21,42.0,633.969,-11.8656,-152.5457,-0.05942,0.094011,0,19.971
22,44.0,632.365,-12.6397,-154.6419,-0.062935,0.065395,0,19.889
23,44.0,630.7363,-13.3493,-156.8699,-0.031899,0.095607,0,19.873
24,46.0,629.0858,-14.0143,-158.3476,-0.075992,0.099117,0,19.939
25,48.0,627.4071,-14.6189,-160.625,-0.06604,0.100047,0,19.983
26,50.0,625.7004,-15.1524,-163.0904,-0.066098,0.088941,0,20.017
27,52.0,623.9717,-15.6149,-165.4865,-0.051669,0.068019,0,20.011
28,52.0,622.2286,-16.0137,-167.514,-0.068775,0.116275,0,19.991
29,54.0,620.4739,-16.3427,-169.8285,-0.048806,0.111195,0,19.958
30,56.0,618.7094,-16.6089,-171.7971,-0.053671,0.106695,0,19.966
31,58.0,616.9358,-16.8164,-173.7032,-0.105727,0.106786,0,19.985
32,60.0,615.1552,-16.9311,-176.9078,-0.074992,0.087966,0,19.958
33,60.0,613.3698,-16.9515,-179.891,-0.004761,0.088195,0,19.988
34,62.0,611.5809,-16.9333,179.1839,0.017295,0.05129,0,20.026
35,64.0,609.7898,-16.919,179.5422,0.018423,0.023851,0,20.035
36,66.0,607.9991,-16.9219,-179.809,0.018578,0.013656,0,20.019
37,68.0,606.2106,-16.9452,-179.1307,-0.008164,0.023816,0,19.995
38,70.0,604.424,-16.9715,-179.1452,-0.015767,0.037062,0,19.982
39,72.0,602.6375,-16.9853,-179.6269,-0.002975,0.037797,0,19.986
40,74.0,600.8499,-16.9909,-179.8671,0.008427,0.030317,0,20.003
41,74.0,599.0608,-17.0001,-179.6861,0.004722,0.02647,0,20.014
42,76.0,597.2714,-17.0155,-179.4798,-0.001847,0.028692,0,20.014
43,78.0,595.4824,-17.0317,-179.4757,-0.004325,0.031848,0,20.005
44,80.0,593.6944,-17.0447,-179.6044,-0.001806,0.031736,0,19.995
45,82.0,591.9069,-17.0548,-179.6962,0.003965,0.028714,0,19.993
46,84.0,590.1194,-17.0666,-179.6134,-0.001339,0.027421,0,19.997
47,86.0,588.3313,-17.0788,-179.6094,-0.003482,0.026613,0,20.003
48,88.0,586.5425,-17.0884,-179.7118,0.00183,0.023057,0,20.006
49,90.0,584.7538,-17.0978,-179.6999,0.003701,0.019357,0,20.004
50,92.0,582.9656,-17.1102,-179.5867,-0.002843,0.01871,0,20.0
51,92.0,581.1774,-17.1222,-179.6226,0.007947,0.017627,0,19.997
52,94.0,579.3898,-17.1387,-179.442,0.000861,0.020995,0,19.997
53,96.0,577.6019,-17.1588,-179.3406,-0.005119,0.028048,0,19.999
54,98.0,575.8138,-17.1762,-179.4613,-0.00589,0.032328,0,20.002
55,100.0,574.0256,-17.1877,-179.666,0.015575,0.030783,0,20.003
56,102.0,572.2375,-17.2072,-179.3232,-0.006572,0.037182,0,19.999
57,104.0,570.4494,-17.228,-179.3409,0.000818,0.044924,0,19.998
58,106.0,568.6613,-17.2475,-179.3777,-0.016655,0.051242,0,19.999
59,108.0,566.8732,-17.2559,-179.8057,-0.000829,0.046631,0,19.999
60,108.0,565.085,-17.2572,-179.9951,0.010268,0.0348,0,20.001
61,110.0,563.2969,-17.2642,-179.7449,0.010509,0.028751,0,20.002
62,112.0,561.5088,-17.2821,-179.3683,-0.004811,0.03351,0,20.001
63,114.0,559.7206,-17.3013,-179.3822,-0.005751,0.039627,0,20.0
64,116.0,557.9326,-17.3154,-179.5748,0.007308,0.040663,0,20.0
65,118.0,556.1444,-17.3322,-179.4446,-0.00272,0.044361,0,19.999
66,120.0,554.3563,-17.3497,-179.445,-0.007596,0.048774,0,20.0
67,122.0,552.5682,-17.3612,-179.667,-0.002678,0.04717,0,20.001
68,124.0,550.78,-17.3679,-179.815,0.0031,0.038741,0,20.001
69,124.0,548.9919,-17.3752,-179.7653,0.000555,0.037772,0,20.001
70,126.0,547.2038,-17.3838,-179.7212,-0.006186,0.03992,0,20.0
71,128.0,545.4156,-17.3885,-179.8754,0.002888,0.040695,0,20.0
72,130.0,543.6275,-17.3928,-179.8622,0.001312,0.041087,0,20.0
73,132.0,541.8394,-17.3989,-179.802,-0.00016,0.043228,0,20.0
