step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,-0.039379,-0.018281,0,19.627
1,10.0,656.2606,13.775,-110.9231,-0.035886,-0.015772,0,18.758
2,12.0,655.6478,12.2578,-112.1696,-0.066457,-0.038425,0,17.979
3,14.0,655.0023,10.7999,-114.0685,-0.061098,-0.089562,0,17.864
4,16.0,654.2887,9.3358,-116.1217,-0.031179,-0.152088,0,18.663
5,16.0,653.4987,7.8084,-117.4716,-0.047769,-0.128771,0,19.689
6,18.0,652.6383,6.2422,-119.0399,-0.081039,-0.131373,0,20.119
7,20.0,651.7129,4.7104,-121.607,-0.069124,-0.142369,0,19.861
8,22.0,650.7401,3.2516,-124.1797,-0.068773,-0.170098,0,19.402
9,24.0,649.7255,1.8639,-126.6021,-0.016925,-0.213766,0,19.139
10,24.0,648.6808,0.5033,-127.713,-0.078923,-0.158712,0,19.293
11,26.0,647.5735,-0.8405,-129.8423,-0.072668,-0.158517,0,19.668
12,28.0,646.3841,-2.1587,-132.4662,-0.04054,-0.174384,0,20.0
13,30.0,645.1393,-3.4509,-134.2746,-0.086178,-0.183072,0,20.08
14,30.0,643.8458,-4.6837,-136.8962,-0.126474,-0.13944,0,19.899
15,32.0,642.4892,-5.8141,-140.9135,-0.153353,-0.191398,0,19.668
16,34.0,641.0535,-6.8159,-145.9541,0.140781,-0.330859,0,19.587
17,36.0,639.6131,-7.8106,-145.0944,-0.018198,-0.41734,0,19.622
18,38.0,638.1807,-8.8474,-144.1672,-0.12272,-0.401543,0,19.933
19,38.0,636.6853,-9.8307,-147.1679,-0.076074,-0.328637,0,20.092
20,40.0,635.1296,-10.7368,-150.3232,-0.041844,-0.335835,0,20.148
21,42.0,633.5447,-11.5861,-152.2363,-0.05162,-0.34036,0,20.062
22,44.0,631.9435,-12.3792,-154.0321,-0.076203,-0.336934,0,19.924
23,46.0,630.3206,-13.1,-156.5095,-0.097094,-0.343801,0,19.839
24,46.0,628.6635,-13.7305,-159.741,-0.034959,-0.31078,0,19.859
25,48.0,626.976,-14.3027,-161.6304,-0.051108,-0.328151,0,19.994
26,50.0,625.2623,-14.8268,-163.353,-0.076128,-0.333837,0,20.081
27,52.0,623.5258,-15.28,-165.8402,-0.082299,-0.348039,0,20.062
28,54.0,621.7739,-15.6464,-168.7308,0.01606,-0.38445,0,19.99
29,54.0,620.0213,-15.984,-169.2341,-0.101086,-0.310688,0,19.947
30,56.0,618.2646,-16.2601,-171.5486,-0.053902,-0.284813,0,19.878
31,58.0,616.4955,-16.4611,-173.9054,-0.040762,-0.270452,0,19.958
32,60.0,614.7126,-16.6105,-175.5466,-0.022842,-0.237591,0,20.054
33,62.0,612.9207,-16.7245,-176.5827,-0.027875,-0.147675,0,20.094
34,62.0,611.1273,-16.8073,-177.5633,-0.031511,-0.078019,0,20.057
35,64.0,609.3379,-16.8555,-178.6757,-0.014121,-0.042993,0,19.99
36,66.0,607.553,-16.8794,-179.376,0.022007,-0.032094,0,19.953
37,68.0,605.7695,-16.9103,-178.9663,-0.014595,-0.014267,0,19.958
38,70.0,603.9838,-16.9386,-179.134,-0.02192,0.000965,0,19.995
39,72.0,602.1943,-16.9471,-179.8399,-0.008531,-0.003687,0,20.029
40,74.0,600.4029,-16.9407,179.7092,0.018389,-0.023155,0,20.038
41,76.0,598.6124,-16.942,-179.9115,0.000644,-0.034948,0,20.016
42,78.0,596.824,-16.9501,-179.7144,-0.001003,-0.0399,0,19.991
43,78.0,595.0374,-16.9585,-179.7243,0.003343,-0.044595,0,19.981
44,80.0,593.2507,-16.9692,-179.6462,-0.006186,-0.04705,0,19.989
45,82.0,591.4628,-16.9769,-179.7744,0.004799,-0.052347,0,20.005
46,84.0,589.6737,-16.9857,-179.7097,-0.000901,-0.056705,0,20.014
47,86.0,587.8843,-16.9955,-179.688,0.013325,-0.06,0,20.012
48,88.0,586.0957,-17.014,-179.3477,0.00334,-0.05454,0,20.001
49,90.0,584.308,-17.0402,-179.1263,-0.003915,-0.041491,0,19.994
50,92.0,582.5205,-17.0656,-179.1873,-0.001275,-0.029108,0,19.993
51,94.0,580.733,-17.0891,-179.258,0.008788,-0.018701,0,19.999
52,96.0,578.9448,-17.118,-179.0437,-0.016986,-0.002942,0,20.004
53,96.0,577.1567,-17.1388,-179.3975,-0.022834,0.004735,0,20.002
54,98.0,575.3686,-17.1378,179.8429,0.016261,-0.009302,0,19.999
55,100.0,573.5807,-17.1381,-179.9734,0.016371,-0.022098,0,19.996
56,102.0,571.7933,-17.1544,-179.3965,-0.002772,-0.018853,0,19.998
57,104.0,570.0052,-17.1757,-179.2958,-0.001681,-0.010704,0,20.002
58,106.0,568.2169,-17.1957,-179.3584,-0.011666,-0.003731,0,20.005
59,108.0,566.4282,-17.2075,-179.6803,-0.007667,-0.005074,0,20.003
60,110.0,564.64,-17.2093,-179.9992,0.012467,-0.016318,0,20.001
61,112.0,562.8519,-17.2159,-179.7585,-0.01261,-0.022816,0,19.998
62,112.0,561.0643,-17.2183,-179.9656,-0.020628,-0.033499,0,19.996
63,114.0,559.2768,-17.2022,179.3776,0.037874,-0.062662,0,19.997
64,116.0,557.4897,-17.2029,-179.8601,0.009974,-0.075091,0,19.987
65,118.0,555.7024,-17.224,-179.2326,0.007771,-0.067095,0,19.997
66,120.0,553.9142,-17.2557,-178.9093,-0.019878,-0.048474,0,20.008
67,122.0,552.1255,-17.2783,-179.3407,-0.014993,-0.038971,0,20.008
68,124.0,550.3367,-17.2836,-179.9267,0.022703,-0.047608,0,20.005
69,126.0,548.5488,-17.2974,-179.4997,-0.021966,-0.043486,0,19.995
70,128.0,546.7617,-17.3043,-179.8497,-0.01834,-0.040553,0,19.988
71,128.0,544.9744,-17.291,179.4643,0.024303,-0.057831,0,19.996
72,130.0,543.1865,-17.286,179.8985,0.022025,-0.066724,0,20.0
73,132.0,541.3984,-17.3042,-179.2955,-0.00972,-0.052446,0,20.007
74,134.0,539.6096,-17.3253,-179.3143,-0.009447,-0.035235,0,20.007
75,136.0,537.8209,-17.3377,-179.6461,-0.011418,-0.026758,0,20.004
76,138.0,536.0326,-17.3386,179.9563,-0.005676,-0.029716,0,20.0
77,140.0,534.2444,-17.3306,179.6874,-0.002113,-0.041648,0,19.999
78,142.0,532.4563,-17.3181,179.5681,-0.003974,-0.058047,0,20.0
79,144.0,530.6682,-17.3015,179.4394,0.011319,-0.078538,0,20.001
80,146.0,528.8801,-17.2907,179.6927,0.021126,-0.093222,0,20.002
81,146.0,527.0919,-17.2984,-179.6464,0.00196,-0.08945,0,20.0
82,148.0,525.3038,-17.3162,-179.3763,-0.029155,-0.075506,0,20.0
83,150.0,523.5161,-17.3166,179.9002,0.010894,-0.079092,0,19.994
84,152.0,521.7286,-17.3133,179.8928,0.022356,-0.086286,0,19.996
85,154.0,519.9409,-17.328,-179.4324,-0.020233,-0.075428,0,19.999
86,156.0,518.1528,-17.338,-179.7276,-0.014258,-0.069367,0,19.999
87,158.0,516.3647,-17.3316,179.7099,-0.006082,-0.079711,0,20.003
88,160.0,514.576,-17.3148,179.397,0.018805,-0.100359,0,20.006
89,162.0,512.7875,-17.3073,179.8157,0.027267,-0.111804,0,20.001
90,162.0,510.9998,-17.3249,-179.2916,-0.014598,-0.098113,0,19.996
91,164.0,509.2122,-17.3442,-179.3868,-0.012298,-0.082718,0,19.994
92,166.0,507.4244,-17.3511,-179.8388,0.009596,-0.079712,0,19.999
